,text,is_humor
0,A Bad Beginning Makes A Bad Ending,0
1,A Bad Corn Promise Is Better Than A Good Lawsuit,0
2,A Bad Workman Quarrels With His Tools,0
3,A Bargain Is A Bargain,0
4,A Beggar Can Never Be Bankrupt,0
5,A Bird In The Hand Is Worth Two In The Bush,0
6,A Bird May Be Known By Its Song,0
7,A Black Hen Lays A White Egg,0
8,A Blind Leader Of The Blind,0
9,A Blind Man Would Be Glad To See,0
10,"A Broken Friendship May Be Soldered, But Will Never Be Sound",0
11,A Burden Of One's Own Choice Is Not Felt,0
12,A Burnt Child Dreads The Fire,0
13,A Cat In Gloves Catches No Mice,0
14,A City That Parleys Is Half Gotten,0
15,A Civil Denial Is Better Than A Rude Grant,0
16,A Clean Fast Is Better Than A Dirty Breakfast,0
17,A Clean Hand Wants No Washing,0
18,A Clear Conscience Laughs At False Accusations,0
19,A Close Mouth Catches No Flies,0
20,A Cock Is Valiant On His Own Dunghill,0
21,A Cracked Bell Can Never Sound Well,0
22,A Creaking Door Hangs Long On Its Hinges,0
23,A Curst Cow Has Short Horns,0
24,A Danger Foreseen Is Half Avoided,0
25,A Drop In The Bucket,0
26,A Drowning Man Will Catch At A Straw,0
27,A Fair Face May Hide A Foul Heart,0
28,A Fault Confessed Is Half Redressed,0
29,A Fly In The Ointment,0
30,A Fool Always Rushes To The Fore,0
31,A Fool And His Money Are Soon Parted,0
32,A Fool At Forty Is A Fool Indeed,0
33,A Fool May Ask More Questions In An Hour Than A Wise Man Can Answer In Seven Years,0
34,A Fool May Throw A Stone Into A Well Which A Hundred Wise Men Cannot Pull Out,0
35,A Fool's Tongue Runs Before His Wit,0
36,A Forced Kindness Deserves No Thanks,0
37,A Foul Morn May Turn To A Fair Day,0
38,A Fox Is Not Taken Twice In The Same Snare,0
39,A Friend In Need Is A Friend Indeed,0
40,A Friend Is Never Known Till Needed,0
41,A Friend To All Is A Friend To None,0
42,A Friend's Frown Is Better Than A Foe's Smile,0
43,A Good Anvil Does Not Fear The Hammer,0
44,A Good Beginning Is Half The Battle,0
45,A Good Beginning Makes A Good Ending,0
46,A Good Deed Is Never Lost,0
47,A Good Dog Deserves A Good Bone,0
48,A Good Example Is The Best Sermon,0
49,A Good Face Is A Letter Of Recommendation,0
50,A Good Jack Makes A Good Jill,0
51,A Good Marksman May Miss,0
52,A Good Name Is Better Than Riches,0
53,A Good Name Is Sooner Lost Than Won,0
54,A Good Name Keeps Its Lustre In The Dark,0
55,A Good Wife Makes A Good Husband,0
